Lp.;Wêze³ pocz¹tkowy ;Wêze³ koñcowy;nazwa elementu;sp³yw ca³kowity [l/s];rzêdna terenu  [m];rzêdna dna kana³u [m];œrednica kana³u [m];zag³êbienie [m];d³ugoœæ kana³u [m];spadekkana³u [%];spadek terenu [%];brak zmiany;zwiêkszenie œrednicy;zmniejszenie œrednicy;pompownia;zbiornik
1;W1;S1;wpust;4;149.08;147.28;0.2;1.8;8.1;5.56;-1.944;1;0;0;0;0
2;W2;S1;wpust;3;149.06;147.96;0.2;1.1;8.2;10.98;;1;0;0;0;0
3;S1;S2;studzienka;7;149.32;146.47;0.6;2.85;27.1;0.22;;1;0;0;0;0
4;W3;S2;wpust;4;148.86;147.12;0.2;1.74;11.1;2.43;;1;0;0;0;0
5;W4;S2;wpust;3;148.82;147.8;0.2;1.02;5.6;3.57;;1;0;0;0;0
6;S2;S3;studzienka;14;148.92;146.41;0.6;2.51;38.1;0.16;;1;0;0;0;0
7;W5;S3;wpust;4;148.61;146.82;0.25;1.79;16.14;1.04;;1;0;0;0;0
8;W6;S3;wpust;3;148.61;146.85;0.25;1.76;12.52;1.04;;1;0;0;0;0
9;S3;S4;studzienka;21;148.66;146.24;0.6;2.42;40;0.425;;1;0;0;0;0
10;S4a;S4b;studzienka;1;148.48;145.96;0.4;2.52;20.9;-0.29;;1;0;0;0;0
11;W7;S4b;wpust;3;148.17;146.74;0.2;1.43;8.8;8.18;;1;0;0;0;0
12;S4b;S4;studzienka;4;148.26;146.02;0.4;2.24;6.1;0.98;;1;0;0;0;0
13;W8;S4;wpust;3;148.14;146.99;0.2;1.15;5.3;19.43;;1;0;0;0;0
14;S4;S5;studzienka;28;148.14;145.96;0.6;2.18;55.5;0.83;;1;0;0;0;0
15;S5;S6;studzienka;28;147.98;145.5;0.6;2.48;4.75;3.58;;1;0;0;0;0
16;W9;S6a;wpust ;3;147.91;146.31;0.25;1.6;11.5;3.57;;1;0;0;0;0
17;W10;S6a;wpust ;3;147.85;146.25;0.25;1.6;5.6;3.93;;1;0;0;0;0
18;S6a;S6;studzienka ;6;147.98;145.84;0.3;2.14;10.6;4.81;;1;0;0;0;0
19;S6a;S7;studzienka;34;147.81;145.33;0.6;2.48;3.3;0.91;;1;0;0;0;0
20;S7;S7;studzienka;34;147.88;145.3;0.6;2.58;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
